"","indicator","name"
"varDS1","GB.TDS.FRGN.CN","Central government debt service, external (current LCU)"
"","DT.TDS.DECT.EX.ZS","Total debt service (% of exports of goods, services and income)"
"","DT.TDS.DECT.GD.ZS","Total debt service (% of GDP)"
"","DT.TDS.DECT.GN.ZS","Total debt service (% of GNI)"
