Country Name	Country Code	Series Name	Series Code	2011
Belize	BLZ	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
Belize	BLZ	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
Belize	BLZ	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Benin	BEN	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	10.08203
Benin	BEN	Account used to receive government payments (% age 15+)	GFDD.AI.09	0.7784258
Benin	BEN	Account used to receive remittances (% age 15+)	GFDD.AI.10	2.80761
Benin	BEN	Account used to receive wages (% age 15+)	GFDD.AI.11	3.244582
Bermuda	BMU	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
Bermuda	BMU	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
Bermuda	BMU	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
Bermuda	BMU	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Bhutan	BTN	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
Bhutan	BTN	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
Bhutan	BTN	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
Bhutan	BTN	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Bolivia	BOL	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	25.68677
Bolivia	BOL	Account used to receive government payments (% age 15+)	GFDD.AI.09	2.015041
Bolivia	BOL	Account used to receive remittances (% age 15+)	GFDD.AI.10	4.016413
Bolivia	BOL	Account used to receive wages (% age 15+)	GFDD.AI.11	9.504126
Bosnia and Herzegovina	BIH	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	55.08319
Bosnia and Herzegovina	BIH	Account used to receive government payments (% age 15+)	GFDD.AI.09	15.05285
Bosnia and Herzegovina	BIH	Account used to receive remittances (% age 15+)	GFDD.AI.10	7.565567
Bosnia and Herzegovina	BIH	Account used to receive wages (% age 15+)	GFDD.AI.11	34.65243
Botswana	BWA	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	29.55234
Botswana	BWA	Account used to receive government payments (% age 15+)	GFDD.AI.09	8.592984
Botswana	BWA	Account used to receive remittances (% age 15+)	GFDD.AI.10	12.26313
