Country,Concept,Data Source,Status,Unit,Scale,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Greece,Currency In Circulation,International Financial Statistics (IFS),Published,Euros,Billions,10.645,12.759,14.363,15.95,16.944,18.998,21.632,22.517,23.728,24.331
Greece,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,2.33666666666667,2.27333333333333,2.33333333333333,3.4375,4.45,4.8125,1.61666666666666,1.35042286922015,2.00574128313207,1.11088981672726
Grenada,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,234.189204,327.856658,252.739601,261.898737,303.253425,287.419994,272.991175,269.764088995019,310.75312294392,307.634227523352
Grenada,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,117.787777,133.913416,141.319192,140.591989,149.105062,149.400672,148.966567,142.264355995019,154.35941425392,156.444626533352
Grenada,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,6.5,5.5,5.5,6.25,6.375,6.25,6.33333333333333,6.20833333333333,5.93666666666667,6
Guatemala,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,24544.1020552801,27027.48952446,27186.4765927402,31331.9995011001,31551.80025735,37736.00551511,42945.84509094,44921.64523451,48996.43199788,52024.65866292
Guatemala,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,11924.4139284,12626.4017239,14261.8657617,15771.98188022,20010.77752452,19665.9341572,21232.56023337,23390.2550137,24532.52612649,26552.11597443
Guyana,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,39237.131343,42678.084334,48084.584473,50310.382193,54084.244215,57901.692819,71848.19496,91668.4262,98076.039958,113010.933758
Guyana,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,19402.290893,21225.829436,23467.645831,28408.075425,32876.368569,37625.569429,41905.090005,50327.6724,61391.956393,67781.59234
Guyana,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,3.03833333333333,3.62,3.79083333333333,3.95416666666667,3.93833333333333,3.98583333333333,4.305,3.87416666666667,2.48166666666667,1.73083333333333
Haiti,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,28737.04,31850.2900234871,35377.3612356771,39762.6693498024,44037.322227955,51831.0844828455,57759.4016918513,83300.3464015995,87542.3144428769,95671.9123877841
Haiti,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,11345.79,11839.02019091,14205.45653437,14271.6231546,15082.65551084,17927.4492681,18358.0769692,23749.12978827,24503.63964543,26766.42767234
Honduras,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,22509.43320846,29775.3589203472,38738.20311156,43529.5805375,43482.6292619,43972.3797161,47383.4819107,63648.21302694,69033.11207654,68730.50950479
Honduras,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,8056.13184927,9379.18894015,11113.44947241,13592.61359018,16362.51664251,16468.4276666,17705.68229431,19933.23807881,21357.77468051,22149.03689778
Hungary,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,1823.254,2033.749,2204.37,2439.17,2791.975,2604.568,2492.388,2776.537,3089.464,3102.792
Hungary,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,1466.831,1452.564,1714.13,1967.853,2202.203,2308.656,2187.908,2378.052,2709.606,2737.672
Hungary,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,8.21584483252515,11.3249234206942,6.95295725272994,6.86812365656215,7.67430163301367,8.90398128025952,8.4844623655914,5.37046280128205,6.01772391666667,6.89738241666667
Iceland,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,17230.365,47832.085,45302.874,57871.291,169272.194,119469.553402,159303.296723,130845.08728,88388.79401,113243.62928
Iceland,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,10583.493,11632.308,13201.909,14512.501,15735.426,24436.438,28957.678,38269.478,43204.646,45142.048
Iceland,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,4.93083333333333,6.03583333333333,8.79581122774841,13.4129833333333,15.1297029523333,17.882133333,11.3837226416417,6.65,4.27916666666667,5.55833333333333
Indonesia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,202870.056,206180.428250323,269970.875727673,346492.472111182,438459.84131,425846.665321729,498978.712072189,525145.396,657337.184578787,755250.658379419
Indonesia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,112742.3802,126895.202585593,144869.380277387,178572.155949245,220785.31129,264390.611580163,279028.772820114,318575.31,372972.201080506,439720.410186126
Iraq,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,,11799.547,13794.742,17521.451,28808.428,42858.592,45270.897,54524.342,60059.342,65055.205
Iraq,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,,7591.997,10256.511,11916.555,15632.225,21304.418,24169.401,27507.328,32157.444,35784.805
Iraq,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,,5.325,7.07083333333333,9.48583333333333,21,17.6708333333333,7.42916666666667,8.94,9.49333333333333,6.14583333333333
Ireland,Currency In Circulation,International Financial Statistics (IFS),Published,Euros,Millions,4650,6437,7247,8021,8611,9645,12480,12966,13673,13999
Israel,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,6.997475,4.78325,4.34020833333333,5.543395,4.333375,3.90315583333333,1.38998109527772,2.18523798562054,3.04967657110691,2.22794240102601
Italy,Currency In Circulation,International Financial Statistics (IFS),Published,Euros,Billions,76.091,86.79,97.889,108.698,115.623,129.794,136.605,142.321,150.155,154.156
Italy,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,2.18798333333333,2.0795,2.1724,3.18271666666667,4.03571666666667,3.7577,0.954999999999999,1.13333333333333,2.78583333333333,1.895
Jamaica,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,58298.698,65849.456,69965.521,80764.985,84551.363,110017.968,132095.876,128502.88,140517.943,128498.914
Jamaica,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,29426.462,32398.103,35644.528,42317.322,47220.65,49025.65,51856.183,56710.719,62646.682,64684.14
Jamaica,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,25.9383333333333,15.4675,13.385,12.7858333333333,12.555,15.89,19.95,9.26166666666666,6.5895375,6.6171675
Japan,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Trillions,111.363,115.6268,116.6406,94.7777,95.9786,101.261,105.8477,109.507,125.0788,138.4747
Japan,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Trillions,81.3323,82.4484,83.7728,84.3652,85.8552,86.0687,85.5107,86.8557,88.5465,91.2309
Japan,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,0.003,0.003,0.003,0.419,0.553,0.357,0.121,0.13,0.1,0.094
Kazakhstan,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,316961.865,577871.26262772,649835.4823974,1501328.30281132,1464135.775447,1525237.60546244,2450835.97505419,2572217.36217203,2837356.3131942,2889914.18718509
Kazakhstan,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,262093.1089,410897.67801077,458517.86948277,687256.66028916,859852.40380624,986855.61536675,1047794.5776349,1306208.10294584,1548165.96974579,1736645.70891349
Kazakhstan,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,5.86,3.28,3.28,3.28,7.01,7,7,7,7,7
Kenya,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,87513.20105225,101054.1494914,107235.51614206,124676.19720008,156929.04174968,163588.92055666,181956.79256658,222634.3714575,255005.66639495,298874.2190044
Kenya,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,63175.37133075,70962.1758714,76820.05282465,89326.48980025,115924.31190675,115730.51443645,124283.9671136,147208.9601417,172234.2009938,187737.1611572
Kenya,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,3.7317,2.95956111111111,8.43659583333333,6.81319583333333,6.7989,7.70294166666667,7.37538333333333,3.601125,8.72365416666666,12.5806520652174
"Korea, Republic of",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,40748.97,38791.76,43248.968,51869.521,56398.976,64846.321,67779.116,74545.691,80055.93,88341.9694
"Korea, Republic of",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,24397.2,24788.579,26037.401,27741.774,29218.86,30652.256,37239.045,43196.98,48543.186,54215.9134
"Kosovo, Republic of",Monetary Base,International Financial Statistics (IFS),Published,Euros,Millions,92.28368826,110.56698048,149.1318845,144.32826983,170.79201907,201.10293556,364.0903061,247.55352659,246.75777936,351.92603316
"Kosovo, Republic of",Currency In Circulation,International Financial Statistics (IFS),Published,Euros,Millions,0,0,0,0,0,0,0,0,0,0
"Kosovo, Republic of","Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,,,,,,,,,,2.18505058823529
Kuwait,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,1039.4443,912.1888,1240.3654,1763.4776,2063.3229,1330.3462,2979.5033,3804.0622,4890.9079,5787.563
Kuwait,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,585.4701,606.277,684.6215,804.8921,756.7012,869.1395,943.8145,1006.6576,1205.1048,1339.9374
Kuwait,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,2.33102083333333,1.746375,1.9885,,,,0.9175,0.6375,0.8325,
Kyrgyz Republic,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,7.20833333333333,4.94411681423668,4.40059520183258,4.7523974547691,4.9005277031647,13.1630488580121,10.5657552755865,4.58777098734709,8.32276046297767,6.11922283839677
Lao People's Democratic Republic,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,24.8735,20.3675,18.6141505526838,18.3366805065913,18.36015,12.2558333333333,9.52145833333334,7.9725,,
Latvia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,682,727,877,1074,1049,1018,788,938,1160,1234
Latvia,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,3.24,3.42625,2.555,4.125,4.225,6.99158333333333,10.4233333333333,2.425555556,1.117142857,0.5425
Lebanon,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,6.45666666666667,5.24833333333333,5.22,5.22,5.22,5.20666666666667,4.90833333333333,4.09958333333333,3.92666666666667,4.3525
Lesotho,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,518.482,559.071,734.143,680.686,687.176,718.448,1015.994,1048.679,1049.48922881,1203.53576162
Lesotho,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,234.992,256.934,297.972,377.711,402.221,481.245,584.244,637.786,843.5915716,998.55011339
Lesotho,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,11.9604333333333,8.51666666666667,7.22666666666667,6.87,7.80916666666667,9.745425,7.75378333333333,6.2375,5.345,5.46083333333333
Lithuania,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,6540.2,7002,8933,10653,12875,12723,10456,11942,17071,16128
Lithuania,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,5132.1,5590,6709,8050,9161,9620,7922,8811,10813,11402
Lithuania,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,2.60554166666667,2.24916666666667,2.36,2.9475,4.233333333,5.35125,8.5385,2.796666667,2.40416666666667,0.63
Luxembourg,Currency In Circulation,International Financial Statistics (IFS),Published,Euros,Millions,821.19962951,1116.79385,1265.852135,1411.9,1575.5,1763.472673,2052.694918,2142.707325,2260.414115,2330.964229
"Macedonia, FYR",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,22344.662055,22683.071188,28374.148422,34017.6713975,41467.535918,48035.0441115,51891.8561065,53916.8310035,58879.13,61310.06
"Macedonia, FYR",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,15010,15071,15813,17732,19894,20799,19482.0000345,20173,22767.4,23979.3
Madagascar,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,11.935,12.9493184379793,18.841509020014,21.1607787422823,11.8395073604344,8.81442691652555,7.61839801298095,9.32588055459772,9.57854508855201,6.91689139582165
Malawi,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,39.2683333333333,28.575,24.3991666666667,19.2733333333333,13.9466666666667,11.2896564566299,10.1491666666667,7.16190600385453,6.56294166666667,14.3260833333333
Malaysia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,45533.75987491,50085.31954091,52622.6560801,58215.58575807,63898.65049777,68512.5669996,54813.94787448,61261.31971774,96339.22754351,105832.13566
Malaysia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,29445.21028822,32353.77237597,34396.5788302,37894.9368157,42191.66381213,48042.55967613,51137.7115533,55787.42857651,61874.03945374,67124.27934077
Malaysia,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,2.78833333333333,2.39579166666667,2.48425,3.22725,3.43366666666667,3.39,2.05325,2.58391666666667,2.92416666666667,3.03595833333333
Maldives,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,2344.78280974,2947.98401861,2978.14525537,3423.55434394,4374.14609202,5382.37727698,6143.91939107,6064.30428141,7551.31222393,8181.85737712
Maldives,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,677.16643539,828.03154846,947.19069864,1160.71423723,1322.28010808,1762.19203106,1799.72153615,1871.13578016,2196.67402701,2475.54000332
Maldives,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,,,,,5.5,6,5.9975,4.90166666666667,5.44416666666667,7.26
Malta,Currency In Circulation,International Financial Statistics (IFS),Published,Euros,Millions,,,,,,741,711,742,783,808
Malta,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,3.29108333333333,2.9385,3.17716666666667,3.492125,4.25151666666667,4.43666666666667,1.775,0.823333333333333,1.23416666666667,0.994166666666667
Mauritania,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,7.648,7.22,11.84,11.5,10.43,11.0903492175758,8.66,8.55,2.68,3.33
Mauritius,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,18962.0570005444,22434.7110024947,23513.9527911948,25321.8687309868,28079.0628952088,30640.2864021687,35931.50384511,44935.5272597802,48280.8713276374,52622.93001416
Mauritius,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,12982.01616115,14222.28163265,15144.04357864,16350.622985,17698.01774691,19943.48438802,21068.8261884,22591.76147184,24469.75584318,26961.31400182
Mauritius,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,9.0075,5.61416666666667,6.44166666666667,8.46833333333333,10.9541666666667,8.30666666666667,5.245,3.83,3.96083333333333,3.6275
Mexico,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,303614.08908593,340177.672,380033.69076198,449821.28892498,494743.48717716,577543.078498579,632032.40644603,693423.219496419,763491.87917545,846019.4266101
Mexico,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,303614.08908593,340177.672,380033.69076198,449821.28892498,494743.45727716,577542.277231599,631937.88029899,693423.114043649,763490.94033937,845395.60806752
Mexico,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,6.225,6.815,9.2025,7.19333333333333,7.1875,7.6825,5.42833333333333,4.4025,4.24,4.2375
Moldova,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,3804.175707,5319.059473,7517.28455,7389.447373,11771.752229,14781.640718,12934.33935979,14085.92508383,17153.96818971,20531.14105557
Moldova,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,2982.193418,4094.326251,5148.886869,5817.191027,7603.346529,8732.080253,9882.54227275,11105.96067083,12016.67025612,14554.21375726
Moldova,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,15.7675,12.2858333333333,3.7475,7.43416666666667,13.5233333333333,18.8925,11.8183333333333,7.13166666666667,11.71,6.26083333333333
Mongolia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,200788.529,234858.117,281188.182,381792.012,535047.7025,633681.97944444,913415.9374,1160376.646,1661596.72860792,2168391.933
Mongolia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,152819.693,168473.829,191640.176,245058.525,364021.247,407155.508,371777.5104,519647.017,713304.651,828392.94
Mongolia,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,,10.3925,13.73,6.725,6.82,,,,,
Montenegro,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,,10.3917,6.02666666666667,1.15083333333333,0.5584,,4.17583333333333,3.20666666666667,2.57,4.74013333333333
Montserrat,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,38.889845,35.664154,35.009174,36.628455,35.779127,26.868549,33.230972,39.6727560478245,61.1913441316942,78.1323299772589
Montserrat,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,15.291512,15.316401,16.067627,16.668039,17.428799,14.223193,17.797435,18.7978840478245,26.3260125716942,29.4281331572589
Morocco,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,110255.43354331,123873.10559471,140818.13182411,160195.25135091,182333.97042941,191260.44033341,183914.53404573,183119.91031799,193881.22993134,195239.69978488
Morocco,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,78505.10850276,83289.01473622,93505.12741547,114233.55585451,125533.67837839,134771.58053724,143139.22447594,152059.44533361,166252.9902598,172493.35224003
Mozambique,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,8681.531397,10433.446912,12184.764466,14735.945716,17821.934405,19220.421843,24463.943137,31618.253182,34311.097397,41085.978164
Mozambique,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,5010.304552,6202.654456,7335.779834,8789.334116,10942.178626,11995.94279,16117.363102,20446.601828,21898.66359,26242.165996
Mozambique,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,15.3146,12.3661,9.09583333333333,15.0508333333333,15.1616666666667,13.76,10.5907892751627,11.9924587628866,15.2414499205087,5.26954747116238
Myanmar,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,1289.015,1666.057,2074.45,2655.172,3393.756,3708.084,4665.746,5700.622,6671.838,8366.59392
Myanmar,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,1164.212,1457.421,1834.042,2278.134,2852.869,3137.666,3812.737,4712.306,5600.838,6652.06067
Namibia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,1087.22477167,1238.63710882,1372.58055832,1532.42850777,1647.68703929,2350.96726859,2555.67307292,3242.2673926,5507.81235842,4983.19850786
Namibia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,918.8958584,945.7581627,1026.84633065,1151.4446475,1323.7485223,1656.56416835,1704.92888281,1908.60917307,2397.48142454,2772.53888219
Namibia,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,10.5116666666667,7.775,7.09083333333333,7.25583333333333,8.59083333333333,9.63833333333333,8.18916666666667,6.46,5.62224083333333,5.54478333333333
Nepal,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,76063.3832815,87813.583567,95835.142795,109555.820388,121843.89176485,158712.49078683,191596.15014464,203972.09288847,271220.93781623,289818.89764368
Nepal,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,61597.2832815,69637.701267,76289.602495,84511.659327,95498.9556,121431.0982,150615.928438,158849.567462,177136.242206,207651.088325
Nepal,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,3.85,2.4,2.2,1.98,3.59,4.72,6.35,6.82,0.8,0.74
Netherlands,Currency In Circulation,International Financial Statistics (IFS),Published,Euros,Billions,21.901,26.448,29.7,32.925,35.464,39.815,42.913,44.595,46.987,48.298
Netherlands Antilles,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,2.79916666666667,3.86333333333333,3.51583333333333,5.39333333333333,6.03916666666667,4.39916666666667,1.35,,,
New Zealand,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,5.21308333333333,5.84855555555555,6.52416666666667,7.0465,7.54810833333333,7.00688888888889,2.82709583333333,2.77529525518341,2.55180416666667,2.46035256410256
Nicaragua,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,15968.419313,15721.490643,16305.211224,18100.18963,18728.186483,20835.948474,27460.889699,34313.679559,36492.727462,35948.107897
Nicaragua,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,2761.823222,3416.569118,4240.523057,5024.119254,6610.813967,6853.873385,7619.267022,9931.407882,11418.489539,13232.772959
Nigeria,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,689112.127272727,732726.427828397,765971.8,992959.1,1195865.58005176,1542997.83274775,1398225.77869345,1704321.02403974,2606794.15391218,3273942.47143603
Nigeria,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,502254.5,545803,642376,779254.2,955854.49282573,1155566.79855522,1185038.50853988,1378222.08958949,1566046.43985691,1631717.15700427
Nigeria,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,14.7908333333333,14.3391666666667,7.62833333333333,9.99166666666667,6.85,8.19916666666667,3.785,3.84833333333333,9.70083333333333,13.635
Oman,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,442.482,503.147,525.734,726.754,1235.113739,2061.32,1405.866569,2237.517628,1826.769661,2493.624699
Oman,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,351.307,382.186,459.453,560.616,663.063257,780.62,773.287803,913.361459,1037.339499,1178.810701
Pakistan,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,743878,892793,980694,1186963,1362666,1447894.627,1650643.127,1924904.101,2068947.543,2415684.447
Pakistan,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,595159,690946,769617,917809,1070960,1205289.441,1368143.716,1595121.558,1694829.221,1958437.054
Pakistan,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,1.86504166666667,2.48925,7.1811,8.54,8.98916666666667,11.3666666666667,12.5191666666667,12.54715,13.1155666666667,10.9951583333333
Panama,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,772.42045775,791.74693517,811.09375184,840.06657275,1007.40194539,1024.52918101,1261.00317536,1179.06714955,1223.43114278,1250.73411568
Panama,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,140.82074407,154.32270448,161.16832529,176.70652261,196.6965264,218.93892583,239.94196227,268.47529091,333.20128726,397.42639385
Papua New Guinea,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,668.71037637,870.76194565,935.38559225,1138.19794106,1841.61307598,1620.08618292,1813.54702147,2015.6526,3258.71846658,3833.67590215
Papua New Guinea,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,511.60599329,531.03617055,605.87326113,692.86954979,822.50679108,850.40993917,1002.34109407,1192.7114,1532.44661117,1679.32919319
Papua New Guinea,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,18.6858333333333,8.85333333333333,3.80833333333333,4.01,4.66666667,6.1925,7.07708333333333,4.63708333333333,4.14,2.7375
Paraguay,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,5019.64038166,5774.6349997008,5995.777016785,6471.6288912567,8638.279692403,9886.098264832,12887.607848881,13342.4242851979,15884.9648738828,17472.0487744032
Paraguay,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,2206.813662,2487.567148469,2924.898389523,3371.322865382,4326.096226746,4973.923360434,5537.798701064,6563.533782146,7324.26816645,8606.190445173
Philippines,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,389.76842967748,427.80153413952,467.58581709839,719.03325565098,848.78489648941,961.46572658635,1047.92791281966,1120.54599325812,1323.0004178752,1475.63289396113
Philippines,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,294.78160145982,322.46556481586,336.5575058268,384.49161564421,433.85441173709,545.09493019743,582.53288842971,601.27482807224,648.91093272113,692.65707737942
Philippines,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,5.87204166666667,7.32016666666667,6.13233333333333,5.29366666666667,3.37695833333333,5.165,4.163,3.5145,1.3395,1.49966666666667
Poland,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,,70312,71946,89113,106755,133597,139303,141983,139415,171068
Poland,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,,55925,62597,75073,85671,101774,99954,102663,111845,113415
Poland,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,5.375,6.60166666666667,4.90416666666667,4.19,4.69533333333333,6.27,4.55675,4,4.46,
Portugal,Currency In Circulation,International Financial Statistics (IFS),Published,Euros,Billions,9.868,11.801,13.268,14.721,15.828,17.749,19.13,19.914,21.002,21.557
Qatar,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,4589.3,6018.2,8251.1,10147.4,30634.2,23618.5,45903.3,91808.6,31185.7,45555.1
Qatar,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,2599.9,3122.9,3531,5069.8,5624.5,6912.8,7191.4,7974.3,9092.3,10975.7
Romania,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,9.8415065,13.704845,22.211953,34.580253,48.872484255,50.467908764,51.661837676,55.103444409,61.565582218,57.307888941
Romania,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,6.517548,8.246316,12.732209,17.356619,25.444669282,29.047790566,27.501250575,29.936998379,34.226163237,36.011896012
Romania,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,15.066666666,,,,7.10916666666667,10.4208333333333,10.8966666666667,7.21083333333333,7.3175,6.26875
Russian Federation,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,1914.3,2380.3,2914.3,4122.4,5513.4,5578.7,6467.3,8190.4,8644.1,9852.8
Russian Federation,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,1224.7,1669.9,2195.4,3062.1,4118.6,4372.1,4622.9,5785.2,6895.8,7667.7
Russian Federation,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,5.35,,,,,,,,,
Rwanda,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,11.1816666666667,12.5183333333333,8.35083333333333,9.8579094356512,7.23916666666667,,,7.4425,,
