Country,Concept,Data Source,Status,Unit,Scale,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Barbados,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,1085.18,773.8,779.26,932.57813101,1273.799645,1293.641981,1220.307483,1031.89906,1200.016215,
Barbados,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,474.66,513.33,575.86,596.05699309,635.172597,622.400397,628.98088,648.760065,650.217648,
Barbados,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,1.41083333333333,1.20416666666667,4.62416666666667,5.96166666666667,5.6475,4.1975,3.75916666666667,3.30166666666666,3.40666666666667,3.5
Belarus,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,1686.9770835,2393.9989,4159.1401,4983.8733,6896.2769,7702.6573,6813.2215,10187.5969,18757.4617,30318.414
Belarus,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,1053.3492028,1553.3793,2368.3166,3365.3153,4007.3963,4941.781,4924.5191,6207.8878,9449.9115,16136.6281
Belgium,Currency In Circulation,International Financial Statistics (IFS),Published,Euros,Millions,14877,17223,19434,21618,23238,26047,27059,28229,29809,30544
Belgium,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,2.23333333333333,1.9725,2.02416666666667,2.7275,3.79916666666667,3.63083333333333,0.58,0.324166666666666,0.784166666666667,0.07
Belize,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,203.613,230.005,255.421,321.45890322,336.24749897,382.8875333,428.63478594,416.88230889,476.19024812,567.61854978
Belize,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,127.627,141.95,143.089,169.35433934,185.7731485,193.19583803,191.97318556,191.60255744,210.57850905,238.14056986
Belize,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.03853333333333,2.42441375,2.08527416666667
Bhutan,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,8280.9559942,9222.47944877,12732.544842,12284.81945241,14517.594976,15784.977979,22318.0599537,27248.62528181,21173.43246414,19148.35155684
Bhutan,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,1865.027365,2142.733135,2518.86627,2908.344654,4070.04274,4816.247252,5218.761411,6189.398111,7576.110018,6729.751568
Bolivia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,8210.1206601606,9438.215254988,11018.822934475,16024.0603214486,23532.9780174446,28695.3542463276,35109.9339123453,40580.7630389477,53669.7820005422,63884.0966276346
Bolivia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,3524.67612379,4282.9514355,6179.50948535,8773.57322388,14102.84819708,17043.31910552,18892.39291636,24585.62226757,28585.08716164,32665.08616045
Bolivia,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,9.92465594875013,7.41137858281158,4.96376354833274,4.5582601492812,6.03619753822071,8.30920369537296,2.85654268289445,0.0699439735634928,0.461476293404165,0.523032007573624
Bosnia and Herzegovina,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,2609.14747,3240.83112,3972.37368,5056.56293924,6229.00360935,5704.04424929,5648.86618464,5899.74039554,5848.90569893,5801.67601564
Bosnia and Herzegovina,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,1721.85825,1817.42726,1907.18294,2154.23416435,2439.70915255,2552.43190215,2267.7341151,2497.50144535,2645.05550855,2747.5118418
Botswana,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,3981.8166745,5069.577263172,6104.24818779,16131.43715726,19140.14328623,20826.85255712,20751.28156673,23292.70337214,16015.01722704,15256.64228164
Botswana,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,817.995016,910.858,935.263223,1069.719047,1360.905957,1593.969706,1659.187368,1915.663808,2089.157938,2274.816173
Brazil,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,160771,168345,181385,204249,248840,205623,228924,530561,587671,508029.545992577
Brazil,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,51364,61936,70033,85825,102885,115591,131861,151145,162770,187435
Brazil,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,22.1049957769491,17.137,18.7595833333333,14.37675,11.5007833333333,13.6839142857143,9.70225833333333,10.9308333333333,11.6624333333333,8.06743333333333
Brunei Darussalam,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,1157.94568732,1262.91775542,1376.85100891,1394.58654474,1458.91972167,1691.25976752,1624.32215975,1744.14112171,2665.47886251,2887.00748311
Brunei Darussalam,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,650.9801798,667.05208727,704.65159969,739.874653120001,848.834481140001,921.78722551,954.51361579,1023.71116947,1689.98696032,1627.05169234
Bulgaria,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,6779.587,8434.96,9333.35,11114.5,14999.99,14956.58,14217.05,14666.07,15905.03,18683.58
Bulgaria,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,4264.222,5020.24,5867.21,6888.58,8410.87,9179.41,8049.1,8302.43,8728.75,9549.92
Bulgaria,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,2.80833333333333,2.64416666666667,2.23166666666667,2.5767,3.789025,4.06,4.665,2.56,1.25,
Burundi,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,55665.2,76336.2,101221.4,108143.5,125490.9,156438.5,198044.1,209859.9,211228.7,245341.4
Burundi,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,48329.6,61610.2,73203.7,76883,92976,124230.9,136206.2,155835.2,170106,198246.9
Burundi,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,16.55,14.95,7.92,8.84,,,,,,
Cabo Verde,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,17273.8,18463.4,21113.5211833,21861.129656,24040.652164,25958.907688,26829.093007,25916.249175,24438.949781,32579.829119
Cabo Verde,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,7324.1,7837.3,8691.5103823,9187.971702,9982.797432,10349.751236,9850.569243,10190.267277,9846.156563,9828.621577
Cabo Verde,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,5.81421298770657,6.42090965189721,4.07196887711318,2.69525,3.40921338758955,3.40760044070513,3.520975,3.88861666666667,3.95833333333333,4.17708333333333
Cambodia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,2159.428633352,2681.0601709,2639.442855564,3387.280448102,5025.83599253281,6109.7529,8752.35,10270.1162,11072.807741194,13080.951761543
Cambodia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,977.276002,1158.4962511,1310.95841765,1633.1029122,2043.88613885,2393.7571,3094.678,3240.9946,3953.4514076,3986.4688207
Cameroon,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,576.538,675.89,675.095,860.352,1121.642,1126.173,1219.167,1384.557,1343.736,1458.339
Cameroon,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,362.12,391.863,363.813,392.257,491.967,557.07,582.134,639.164,661.995,705.338
Canada,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,42.690891,44.741416,46.127738,48.773998,51.066777,53.757277,58.467522,57.921736,61.135441,63.886411
Canada,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,42.190611,44.240545,46.07789,48.762193,50.565246,53.73133,55.467894,57.874242,61.028761,63.700027
