Country,Time,Unit,Data Source,Status,Scale,"Interest Rates, Government Securities, Government Bonds","Interest Rates, Government Securities, Government Bonds, Short-term","Interest Rates, Government Securities, Government Bonds, Medium- and Long-term"
Canada,2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.6575,2.21,
Canada,2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.21416666666667,1.85416666666667,
Canada,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,2.33166666666667,1.30083333333334,
Canada,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,2.71833333333333,1.4775,
Cyprus,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.7975,,
Cyprus,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.16166666666667,,
Cyprus,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.13416666666667,,
Cyprus,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.475,,
Cyprus,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.6,,
Cyprus,2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.6,,
Cyprus,2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.6,,
Cyprus,2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.7875,,
Cyprus,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,7,,
Cyprus,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,6.5,,
Czech Republic,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.05,,
Czech Republic,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.61,,
Czech Republic,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.68,,
Czech Republic,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.65,,
Czech Republic,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.3,,
Czech Republic,2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.98,,
Czech Republic,2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.889,,
Czech Republic,2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.7,,
Czech Republic,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,2.12413376624612,,
Czech Republic,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,2.2029185806444,,
Denmark,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.305,5.0075,
Denmark,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.40416666666667,4.58770566666667,
Denmark,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.81166666666667,4.62393819191919,
Denmark,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.28583333333333,5.12416666666667,
Denmark,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.28166666666667,5.62333333333333,
Denmark,2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.5875,5.08583333333333,
Denmark,2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,2.9275,4.19083333333333,
Denmark,2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,2.73058333333333,4.05563333333333,
Denmark,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,1.40333333333333,3.11333333333333,
Denmark,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,1.74583333333333,,
Estonia,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.38833333333333,,
Estonia,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.9825,,
Estonia,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.30333333333333,,
Estonia,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.62833333333333,,
Estonia,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,8.16416666666667,,
Estonia,2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,7.77833333333333,,
Estonia,2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.96833333333333,,
Ethiopia,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.91488095238095,,
Ethiopia,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.97619047619048,,
Ethiopia,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,4,,
