Country,Concept,Unit,Data Source,Status,Scale,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Timor-Leste, Dem. Rep. of",Currency Issued by Central Government,US Dollars,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Tonga,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,,0,0,0,0,0,0,0,0,0
Turkey,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,134490000,488341700,626958400,722364200,777663100,476768800,828857700,993572200,1139324800,1290908600
Uganda,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Ukraine,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
United Kingdom,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.88226666666667,4.41389166666667,4.501675,5.011275,4.590725,3.64751666666667,3.61191666666667,3.120425,1.90640833333333,2.45108333333333
United States,Currency Issued by Central Government,US Dollars,International Financial Statistics (IFS),Published,Units,36434000000,36540000000,38206000000,38681000000,38843000000,42690000000,43567000000,44250000000,44803000000,45516000000
United States,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.27416666666667,4.29,4.79166666666667,4.62916666666667,3.66666666666667,3.25666666666667,3.21416666666667,2.78583333333333,1.8025,2.35083333333333
Uruguay,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Vanuatu,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Vanuatu,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,8.5,8.5,8.5,8.58333333333333,8.5,8.4475,8.2375,7.9125,7.63916666666667,7.81833333333333
"Venezuela, Republica Bolivariana de",Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
"Venezuela, Republica Bolivariana de","Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,15.5682804978815,12.9275,7.81,9.55,14.47,12.83875,15.5283333333333,17.493,16.7575,15.265
West Bank and Gaza,Currency Issued by Central Government,US Dollars,International Financial Statistics (IFS),Published,Units,,,0,0,0,0,0,0,0,0
Zambia,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Eastern Caribbean Currency Union,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
